Fecha	Territorio	Confirmados PDIA	Confirmados PDIA 14 días	Confirmados PDIA 7 días	Total confirmados	Hospitalizados	Total UCI	Fallecidos	Curados
	Huelva	790	195	109	917	236	33	52	519
	Jaén	2541	611	294	3039	831	98	194	2036
	Málaga	9165	2949	1282	10949	1860	186	302	4382
	Sevilla	5405	1513	735	6079	1391	167	299	3177
05/09/2020	Andalucía	34740	10382	4951	39641	7637	892	1538	19026
	Almería	5449	1873	908	5729	595	85	85	2203
	Cádiz	3670	1245	619	3998	726	95	184	1800
	Córdoba	3384	1044	493	3789	668	86	123	1865
	Granada	4686	999	496	5492	1351	142	300	3047
	Huelva	758	173	97	885	236	33	52	519
	Jaén	2478	570	280	2976	830	98	194	2036
	Málaga	9012	2968	1324	10795	1846	186	302	4379
	Sevilla	5303	1510	734	5977	1385	167	298	3177
04/09/2020	Andalucía	33710	10038	4859	38609	7532	883	1531	18462
	Almería	5304	1872	838	5583	585	84	84	1754
	Cádiz	3504	1162	578	3832	715	93	183	1799
	Córdoba	3317	1043	522	3722	663	86	122	1857
	Granada	4578	970	463	5384	1345	142	299	3046
	Huelva	734	157	87	861	234	32	52	519
	Jaén	2460	577	322	2958	829	97	194	1975
	Málaga	8690	2868	1364	10472	1811	182	299	4336
	Sevilla	5123	1389	685	5797	1350	167	298	3176
03/09/2020	Andalucía	32689	9710	4856	37586	7460	877	1524	18285
	Almería	5147	1811	885	5425	576	84	82	1669
	Cádiz	3391	1160	595	3719	711	93	182	1795
	Córdoba	3202	982	473	3607	658	85	121	1847
	Granada	4471	923	449	5276	1334	142	298	3044
	Huelva	724	166	98	851	233	32	51	504
	Jaén	2372	534	297	2870	827	96	194	1953
	Málaga	8451	2832	1406	10233	1787	178	299	4300
	Sevilla	4931	1302	653	5605	1334	167	297	3173
02/09/2020	Andalucía	31651	9367	4795	36548	7403	871	1521	18181
